pair,tf,filter,sl_buffer,rr,entry,trades,wins,losses,win_rate,profit_factor,total_pips,net_return,max_dd,avg_zone_age,wt_trades,wt_wr,wt_pf,wt_pips,ct_trades,ct_wr,ct_pf,ct_pips,bars,csv
AUDNZD,4H,none,15,1.8,bottom,35,19,16,54.3,2.23,370.3,19.5,5.1,115.9,31,58.1,2.63,399.4,,,,,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,origination,15,1.8,bottom,32,18,14,56.2,2.48,384.4,19.8,5.1,127.4,32,56.2,2.48,384.4,0,0.0,999.0,0.0,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,none,15,2.0,bottom,35,18,17,51.4,2.26,399.8,20.4,4.9,115.9,31,54.8,2.64,425.9,,,,,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,origination,15,2.0,bottom,32,17,15,53.1,2.49,410.9,20.4,4.9,127.4,32,53.1,2.49,410.9,0,0.0,999.0,0.0,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,none,20,1.5,bottom,35,21,14,60.0,2.41,460.3,18.8,3.0,115.9,31,64.5,2.97,501.4,,,,,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,origination,20,1.5,bottom,32,20,12,62.5,2.75,481.4,19.4,3.0,127.4,32,62.5,2.75,481.4,0,0.0,999.0,0.0,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,none,20,1.8,bottom,35,20,15,57.1,2.43,517.3,22.9,3.0,115.9,31,61.3,2.9,552.4,,,,,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,origination,20,1.8,bottom,32,19,13,59.4,2.72,532.4,23.2,3.0,127.4,32,59.4,2.72,532.4,0,0.0,999.0,0.0,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,none,20,2.0,bottom,35,18,17,51.4,2.12,460.6,20.4,3.9,115.9,31,54.8,2.44,491.7,,,,,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,origination,20,2.0,bottom,32,17,15,53.1,2.3,471.7,20.4,3.0,127.4,32,53.1,2.3,471.7,0,0.0,999.0,0.0,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,1H,none,10,1.5,bottom,41,29,12,70.7,3.38,363.8,36.5,3.0,102.8,29,75.9,4.35,310.7,12,58.3,1.88,53.1,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,origination,10,1.5,bottom,41,26,15,63.4,2.35,271.1,26.6,6.4,118.5,41,63.4,2.35,271.1,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,none,10,1.8,bottom,41,27,14,65.9,3.38,411.2,40.6,3.0,102.8,29,69.0,3.98,335.5,12,58.3,2.26,75.7,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,origination,10,1.8,bottom,41,24,17,58.5,2.4,309.7,29.3,6.1,118.5,41,58.5,2.4,309.7,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDNZD__60.csv
